alpha,beta,mean_polarization,std_polarization,mean_convergence,runs
0.1,0.1,1.9800809117451537e-06,2.2294830658046915e-07,70.0,2
0.1,0.30000000000000004,1.5583868805905746e-08,1.5412773664019545e-10,70.0,2
0.1,0.5,1.597132094263229e-08,5.065793342156286e-10,70.0,2
0.1,0.7000000000000001,1.589528401858405e-08,7.704914977891984e-10,70.0,2
0.1,0.9,1.6489930610594177e-08,3.0617976259024623e-10,70.0,2
0.30000000000000004,0.1,1.3957318613195892e-05,4.706063355270637e-07,70.0,2
0.30000000000000004,0.30000000000000004,7.877533546924406e-06,1.306006400476734e-07,70.0,2
0.30000000000000004,0.5,1.5756503892048603e-08,1.8717234225997982e-10,70.0,2
0.30000000000000004,0.7000000000000001,1.6253686833549927e-08,1.8739378983739474e-10,70.0,2
0.30000000000000004,0.9,1.6188904483389013e-08,1.595161388006742e-10,70.0,2
0.5,0.1,1.0425096393663545e-05,1.5474792354673836e-06,70.0,2
0.5,0.30000000000000004,1.407899851744705e-05,2.587772762772662e-07,70.0,2
0.5,0.5,1.2531192950586402e-05,5.909875826584472e-06,70.0,2
0.5,0.7000000000000001,1.582728251145191e-08,1.2660666291477215e-10,70.0,2
0.5,0.9,1.624485876809903e-08,8.24139526939659e-11,70.0,2
0.7000000000000001,0.1,1.0980755013346509e-05,4.125980733017091e-07,70.0,2
0.7000000000000001,0.30000000000000004,9.79298126194498e-06,2.777110998735464e-07,70.0,2
0.7000000000000001,0.5,1.1143241321845971e-05,1.7623884229978607e-06,70.0,2
0.7000000000000001,0.7000000000000001,2.6711862504217128e-05,1.9023122561486158e-05,70.0,2
0.7000000000000001,0.9,1.604769249932497e-08,4.0952593603449494e-10,70.0,2
0.9,0.1,1.2370070051204585e-05,9.852370650848757e-07,70.0,2
0.9,0.30000000000000004,1.2989991069138696e-05,5.105348464437767e-07,70.0,2
0.9,0.5,1.1905020188064586e-05,2.573462753222921e-07,70.0,2
0.9,0.7000000000000001,1.491995581020941e-05,2.821932926930621e-07,70.0,2
0.9,0.9,1.3728829158104933e-05,4.2718002190093465e-06,70.0,2
