alpha,beta,mean_polarization,std_polarization,mean_convergence,runs
0.1,0.1,0.001321813251740422,0.0003117808468985634,90.0,3
0.1,0.2,2.3301640678388525e-10,8.459721290117295e-12,90.0,3
0.1,0.30000000000000004,2.372232569556422e-10,8.090792812937853e-12,90.0,3
0.1,0.4,2.3465612139193614e-10,5.446225383623411e-12,90.0,3
0.1,0.5,2.325568765729858e-10,7.634145318584445e-12,90.0,3
0.1,0.6,2.353568394348206e-10,2.2742756560460107e-12,90.0,3
0.1,0.7000000000000001,2.3246713593956577e-10,4.210160738797899e-12,90.0,3
0.1,0.8,2.31797121220029e-10,4.811622510176789e-13,90.0,3
0.1,0.9,2.337463755841668e-10,8.350896567281076e-12,90.0,3
0.2,0.1,0.002144806672676433,0.0003938257992576764,90.0,3
0.2,0.2,0.0010726441080107542,0.00012630247002516526,90.0,3
0.2,0.30000000000000004,2.3394448987212797e-10,8.925116765180863e-12,90.0,3
0.2,0.4,2.3723926063484826e-10,6.462068583490714e-12,90.0,3
0.2,0.5,2.3021933992263642e-10,6.726911015398144e-12,90.0,3
0.2,0.6,2.3304374025446456e-10,4.677712950854362e-12,90.0,3
0.2,0.7000000000000001,2.3055501540134868e-10,5.583830874649092e-12,90.0,3
0.2,0.8,2.3601633263979655e-10,1.638874957764622e-12,90.0,3
0.2,0.9,2.3709048045510637e-10,1.2030642517169634e-12,90.0,3
0.30000000000000004,0.1,0.0019892160700688516,0.0006408955098089345,90.0,3
0.30000000000000004,0.2,0.0016837964564859669,0.00031196680952729535,90.0,3
0.30000000000000004,0.30000000000000004,0.0013179886504965678,0.0003939203827962541,90.0,3
0.30000000000000004,0.4,2.3000607916283335e-10,3.043696249591455e-12,90.0,3
0.30000000000000004,0.5,2.3267734666412222e-10,4.710547344989368e-12,90.0,3
0.30000000000000004,0.6,2.350503688128503e-10,2.923779702886795e-12,90.0,3
0.30000000000000004,0.7000000000000001,2.4172087984432534e-10,1.4406712767433575e-12,90.0,3
0.30000000000000004,0.8,2.361570287672109e-10,1.5173473228328652e-12,90.0,3
0.30000000000000004,0.9,2.3597879563009315e-10,2.8318562477619335e-12,90.0,3
0.4,0.1,0.0018332281856998473,0.00018056777282690172,90.0,3
0.4,0.2,0.0016941484873594353,0.0004948682265352276,90.0,3
0.4,0.30000000000000004,0.001771628054435482,0.00038916328860447483,90.0,3
0.4,0.4,0.0011876550529987956,1.5774039411776128e-05,90.0,3
0.4,0.5,2.300694031663414e-10,4.141190974959709e-12,90.0,3
0.4,0.6,2.3607261610015715e-10,4.802221904286676e-12,90.0,3
0.4,0.7000000000000001,2.408933536307544e-10,4.014134678908597e-12,90.0,3
0.4,0.8,2.3577264373054e-10,7.350498702648903e-12,90.0,3
0.4,0.9,2.317694600635762e-10,4.659108203811813e-12,90.0,3
0.5,0.1,0.0018680108246037018,0.00014262624370777068,90.0,3
0.5,0.2,0.001689434057032217,0.00035297918867615305,90.0,3
0.5,0.30000000000000004,0.00205772252267933,0.00020501813189316794,90.0,3
0.5,0.4,0.0019707554805939377,0.00018941778975836552,90.0,3
0.5,0.5,0.0013016093757048039,0.0004713345066803797,90.0,3
0.5,0.6,2.267451913215137e-10,2.7809706036794116e-12,90.0,3
0.5,0.7000000000000001,2.373734075502264e-10,4.108075720626917e-12,90.0,3
0.5,0.8,2.346006628759867e-10,2.4513763515843497e-12,90.0,3
0.5,0.9,2.340671501605443e-10,5.659628268449527e-12,90.0,3
0.6,0.1,0.0014985506788860261,0.00015311994716060484,90.0,3
0.6,0.2,0.0020488560391980284,0.00048800297408280847,90.0,3
0.6,0.30000000000000004,0.001785923706287917,0.0004179949956790153,90.0,3
0.6,0.4,0.0022757204949743746,0.0006400337790778614,90.0,3
0.6,0.5,0.00198264255960013,0.0007729863912469229,90.0,3
0.6,0.6,0.0010859309728858569,0.00018508363204331824,90.0,3
0.6,0.7000000000000001,2.3890506536769935e-10,6.921369377826033e-12,90.0,3
0.6,0.8,2.3801441556884524e-10,6.435045622393698e-12,90.0,3
0.6,0.9,2.384788380419963e-10,6.546225165069367e-12,90.0,3
0.7000000000000001,0.1,0.002052634222001408,0.0001950429260734527,90.0,3
0.7000000000000001,0.2,0.0025281594811589606,0.0001177052361885793,90.0,3
0.7000000000000001,0.30000000000000004,0.0018789204338175004,0.0001443671533697228,90.0,3
0.7000000000000001,0.4,0.0020866926816868465,0.0004478350083257626,90.0,3
0.7000000000000001,0.5,0.0014794054858432236,0.00018603938114401485,90.0,3
0.7000000000000001,0.6,0.0014592637907718325,0.0003130009061199772,90.0,3
0.7000000000000001,0.7000000000000001,0.0010542271375858236,3.89049717185973e-05,90.0,3
0.7000000000000001,0.8,2.304909366851634e-10,4.303305381423474e-12,90.0,3
0.7000000000000001,0.9,2.3199458240321114e-10,2.7096185877867347e-12,90.0,3
0.8,0.1,0.0017924394020453318,0.0007099261600424722,90.0,3
0.8,0.2,0.002135801665129618,0.0009643836288959646,90.0,3
0.8,0.30000000000000004,0.00148470977525874,0.00027869099546647694,90.0,3
0.8,0.4,0.002284546387415897,0.0005343940261603878,90.0,3
0.8,0.5,0.0023192551090234267,0.0010949273189620004,90.0,3
0.8,0.6,0.001538566802993271,0.00023956340398602322,90.0,3
0.8,0.7000000000000001,0.0013826241889782556,0.0001047266449682415,90.0,3
0.8,0.8,0.0010315886146963875,0.00013849265855345525,90.0,3
0.8,0.9,2.383046893182639e-10,6.3798481703260865e-12,90.0,3
0.9,0.1,0.0021576800346344463,0.0005834907634678321,90.0,3
0.9,0.2,0.001650446834587211,0.00021287727369227386,90.0,3
0.9,0.30000000000000004,0.0018157957016988553,0.0004588051385801624,90.0,3
0.9,0.4,0.0017294761704279597,0.0003093832885079728,90.0,3
0.9,0.5,0.0020805521545732403,0.00017413567711215997,90.0,3
0.9,0.6,0.0017989229386642816,0.0004086331540106406,90.0,3
0.9,0.7000000000000001,0.0018339819100130876,0.00032283293915390867,90.0,3
0.9,0.8,0.001700194130673019,0.00010627822666482843,90.0,3
0.9,0.9,0.0010768197097574357,2.4464234944853908e-05,90.0,3
